children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
60,6,10.0,18,6.756757,7.8431373,23.68421,80.39216,5,68,"Bacchus Marsh Region",41,4,51,5.263158,0.0,6,"21009",1.3513514,11.764706,54,4,1,54,74,"201021009",91.89189,76,71.052635,0,90.0
43,4,9.302325,4,29.545454,8.1081085,11.764706,72.97298,13,26,"Beaufort",27,3,37,2.9411764,4.6511626,7,"21014",11.363636,18.918919,29,1,5,37,44,"201031014",59.090908,34,85.29412,2,86.04651
83,5,6.0240965,9,11.538462,2.4691358,11.111111,85.18519,9,66,"Prahran - Windsor",69,2,81,2.4691358,0.0,10,"21136",3.8461537,12.345679,70,2,3,78,78,"206061136",84.61539,81,86.419754,0,93.97591
72,7,9.722222,17,32.20339,15.555555,27.868853,68.888885,19,31,"Collingwood",31,7,45,19.67213,15.277778,7,"21141",15.254237,15.555555,32,12,9,54,59,"206071141",52.542374,61,52.459015,11,75.0
77,10,12.987013,12,20.253164,14.705882,19.35484,61.764706,16,55,"Hadfield",21,5,34,12.903226,15.584415,8,"21440",10.126582,23.529411,42,8,8,55,79,"210031440",69.620255,62,67.741936,12,71.42857
168,16,9.523809,14,13.333333,3.0864198,8.86076,83.333336,24,150,"Sunbury",135,5,162,3.7974684,2.9761906,22,"21240",3.3333333,13.580247,138,6,6,147,180,"210041240",83.333336,158,87.341774,5,87.5
336,58,17.261906,44,16.723549,7.482993,12.571428,80.95238,49,227,"Sunbury - South",238,22,294,4.857143,5.0595236,34,"21241",5.8020477,11.564626,289,17,17,261,293,"210041241",77.4744,350,82.57143,17,77.67857
73,11,15.068493,18,20.689655,21.212122,22.222221,60.60606,12,39,"Fitzroy",40,14,66,16.049383,9.589041,12,"21142",12.068966,18.181818,50,13,7,55,58,"206071142",67.24138,81,61.728394,7,75.34247
88,7,7.9545455,6,9.756098,5.1282053,7.3170733,87.17949,8,72,"Hughesdale",68,4,78,2.4390244,3.409091,6,"21180",2.4390244,7.6923075,74,2,2,78,82,"208021180",87.80488,82,90.243904,3,88.63636
182,16,8.791209,26,17.616581,7.4074073,12.440191,62.34568,34,135,"Wendouree - Miners Rest",101,12,162,12.440191,11.538462,49,"21008",12.435233,30.246914,157,26,24,145,193,"201011008",69.94819,209,75.11961,21,79.67033
54,13,24.074074,7,3.7037036,7.4074073,11.111111,83.333336,2,48,"Golden Plains - North",45,4,54,6.3492064,0.0,5,"21015",7.4074073,9.259259,52,4,4,41,54,"201031015",88.888885,63,82.53968,0,75.92593
82,4,4.878049,6,8.333333,3.8461537,6.6666665,80.76923,8,82,"Creswick - Clunes",63,3,78,4.4444447,3.6585367,12,"21010",6.25,15.384615,80,4,6,75,96,"201021010",85.416664,90,88.888885,3,91.46342
59,14,23.728813,31,44.08602,5.4054055,31.632652,74.324326,41,39,"Daylesford",55,4,74,13.265306,1.6949153,15,"21011",13.978495,20.27027,54,13,13,44,93,"201021011",41.935482,98,55.10204,1,74.57627
57,4,7.017544,11,9.722222,2.8169014,18.333334,84.50704,7,62,"Gordon (Vic.)",60,2,71,11.666667,8.77193,9,"21012",4.1666665,12.676056,42,7,3,48,72,"201021012",86.111115,60,70.0,5,84.210526
32,3,9.375,4,9.090909,0.0,13.333333,88.46154,3,28,"Avoca",23,0,26,10.0,3.125,3,"21013",6.060606,11.538462,23,3,2,28,33,"201031013",84.84849,30,76.666664,1,87.5
