children_wh_valid_scores_count_2018, development_at_risk_count_2018, development_at_risk_perc_2018, development_at_risk_count_2015, development_at_risk_perc_2012, development_vulnerable_perc_2009, development_at_risk_perc_2015, development_on_track_perc_2009, development_at_risk_count_2012, development_on_track_count_2012, name, development_on_track_count_2009, development_vulnerable_count_2009, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_at_risk_count_2009, code, development_vulnerable_perc_2012, development_at_risk_perc_2009, development_on_track_count_2015, development_vulnerable_count_2015, development_vulnerable_count_2012, development_on_track_count_2018, children_wh_valid_scores_count_2012, sa2_main16, development_on_track_perc_2012, children_wh_valid_scores_count_2015, development_on_track_perc_2015, development_vulnerable_count_2018, development_on_track_perc_2018
60,4,6.6666665,11,9.459459,11.764706,14.666667,74.5098,7,64,"Bacchus Marsh Region",38,6,51,5.3333335,11.666667,7,"21009",4.0540543,13.725491,60,4,3,49,74,"201021009",86.48649,75,80.0,7,81.666664
42,5,11.904762,4,25.0,17.142857,11.764706,71.42857,11,27,"Beaufort",25,6,35,0.0,2.3809524,4,"21014",13.636364,11.428572,30,0,6,36,44,"201031014",61.363636,34,88.23529,1,85.71429
83,10,12.048193,10,7.6923075,12.345679,12.345679,77.77778,6,70,"Prahran - Windsor",63,10,81,6.1728396,14.457831,8,"21136",2.5641026,9.876543,66,5,2,61,78,"206061136",89.74359,81,81.48148,12,73.49397
72,6,8.333333,15,11.864407,8.888889,24.590164,73.333336,7,47,"Collingwood",33,4,45,14.754098,12.5,8,"21141",8.474576,17.777779,37,9,5,57,59,"206071141",79.66102,61,60.65574,9,79.166664
77,14,18.181818,10,17.72152,5.882353,16.129032,82.35294,14,61,"Hadfield",28,2,34,11.290322,12.987013,4,"21440",5.063291,11.764706,45,7,4,53,79,"210031440",77.21519,62,72.58064,10,68.83117
166,16,9.638555,29,8.474576,4.9382715,18.354431,81.48148,15,154,"Sunbury",132,8,162,10.126582,6.0240965,22,"21240",4.519774,13.580247,113,16,8,140,177,"210041240",87.00565,158,71.51899,10,84.33735
331,46,13.897281,56,16.14035,7.823129,16.0,75.85034,46,212,"Sunbury - South",223,23,294,8.285714,8.459214,48,"21241",9.473684,16.32653,265,29,27,257,285,"210041241",74.38596,350,75.71429,28,77.6435
73,11,15.068493,16,17.241379,10.606061,19.753086,72.72727,10,40,"Fitzroy",48,7,66,19.753086,5.479452,11,"21142",13.793103,16.666666,49,16,8,58,58,"206071142",68.965515,81,60.493828,4,79.45206
88,13,14.772727,5,8.536586,6.4102564,6.097561,89.74359,7,72,"Hughesdale",70,5,78,2.4390244,6.818182,3,"21180",3.6585367,3.8461537,75,2,3,69,82,"208021180",87.80488,82,91.46342,6,78.40909
182,24,13.186813,30,19.68912,11.111111,14.354067,62.34568,38,117,"Wendouree - Miners Rest",101,18,162,16.746412,19.23077,43,"21008",19.68912,26.54321,144,35,38,123,193,"201011008",60.62176,209,68.89952,35,67.58242
54,8,14.814815,13,12.0,12.244898,20.63492,83.67347,6,40,"Golden Plains - North",41,6,49,7.9365077,9.259259,2,"21015",8.0,4.0816326,45,5,4,41,50,"201031015",80.0,63,71.42857,5,75.92593
82,12,14.634147,13,12.371134,1.2820513,14.444445,88.46154,12,78,"Creswick - Clunes",69,1,78,7.7777777,3.6585367,8,"21010",7.216495,10.256411,70,7,7,67,97,"201021010",80.41237,90,77.77778,3,81.70731
59,8,13.559322,18,17.204302,10.958904,18.367348,67.12329,16,68,"Daylesford",49,8,73,5.102041,15.254237,16,"21011",9.67742,21.917809,75,5,9,42,93,"201021011",73.11828,98,76.53061,9,71.18644
60,7,11.666667,7,8.333333,4.285714,11.666667,77.14286,6,59,"Gordon (Vic.)",54,3,70,16.666666,1.6666666,13,"21012",9.722222,18.571428,43,10,7,52,72,"201021012",81.94444,60,71.666664,1,86.666664
32,1,3.125,3,24.242424,0.0,10.0,92.30769,8,22,"Avoca",24,0,26,23.333334,9.375,2,"21013",9.090909,7.6923075,20,7,3,28,33,"201031013",66.666664,30,66.666664,3,87.5
457,48,10.503283,47,13.513514,5.357143,17.80303,82.14286,15,78,"Point Cook - South",46,3,56,8.712121,7.439825,7,"21466",16.216217,12.5,194,23,18,375,111,"213051466",70.27027,264,73.48485,34,82.05689
382,83,21.727749,38,18.49711,10.526316,15.899582,57.894737,32,116,"Cranbourne West",44,8,76,11.297071,6.8062825,24,"21304",14.450867,31.578947,174,27,25,273,173,"212031304",67.052025,239,72.803345,26,71.465965
225,44,19.555555,53,21.73913,8.61244,21.457489,67.94258,60,189,"Mildura - North",142,18,209,8.502025,12.888889,49,"21469",9.782609,23.444977,173,21,27,152,276,"215021469",68.478264,247,70.04049,29,67.55556
30,3,10.0,9,17.647058,18.75,19.565218,72.916664,9,38,"Mildura Region",35,9,48,8.695652,10.0,4,"21398",7.8431373,8.333333,33,4,4,24,51,"215021398",74.5098,46,71.73913,3,80.0
74,18,24.324324,15,7.9365077,5.263158,18.292683,77.192986,5,54,"Red Cliffs",44,3,57,7.3170733,9.459459,10,"21399",6.3492064,17.54386,61,6,4,49,63,"215021399",85.71429,82,74.39024,7,66.21622
132,18,13.636364,16,13.223141,8.139535,12.121212,81.39535,16,94,"Blackburn South",70,7,86,7.5757575,5.3030305,9,"21162",9.090909,10.465117,106,10,11,107,121,"207031162",77.68595,132,80.30303,7,81.06061
91,14,15.384615,21,19.19192,5.714286,19.626167,77.14286,19,69,"Flora Hill - Spring Gully",54,4,70,11.214953,8.791209,12,"21021",11.111111,17.142857,74,12,11,69,99,"202011021",69.69697,107,69.15888,8,75.82417
236,33,13.983051,27,13.120567,9.90991,13.235294,76.57658,37,221,"Kangaroo Flat - Golden Square",170,22,222,13.725491,11.864407,30,"21022",8.510638,13.513514,149,28,24,175,282,"202011022",78.3688,204,73.039215,28,74.15254
97,19,19.58763,10,7.216495,9.615385,11.764706,84.61539,7,87,"Maiden Gully",44,5,52,8.235294,4.123711,3,"21023",3.0927835,5.769231,68,7,3,74,97,"202011023",89.69072,85,80.0,4,76.28866
