children_wh_valid_scores_count_2018, children_wh_valid_scores_count_2009, development_vulnerable_perc_2015, development_vulnerable_perc_2018, development_vulnerable_count_2015, development_vulnerable_count_2012, development_vulnerable_perc_2009, name, children_wh_valid_scores_count_2012, sa2_main16, children_wh_valid_scores_count_2015, code, development_vulnerable_perc_2012, development_vulnerable_count_2018, development_vulnerable_count_2009
382,76,8.368201,7.329843,20,27,14.473684,"Cranbourne West",172,"212031304",239,"21304",15.697675,28,11
83,81,3.7037036,6.0240965,3,5,1.2345679,"Prahran - Windsor",78,"206061136",81,"21136",6.4102564,5,1
72,44,16.393442,5.5555553,10,9,11.363636,"Collingwood",59,"206071141",61,"21141",15.254237,4,5
77,34,3.2258065,10.38961,2,5,8.823529,"Hadfield",79,"210031440",62,"21440",6.329114,8,3
169,162,1.8987342,4.1420116,3,7,5.5555553,"Sunbury",180,"210041240",158,"21240",3.8888888,7,9
336,294,6.285714,9.523809,22,17,5.782313,"Sunbury - South",292,"210041241",350,"21241",5.821918,32,17
73,66,17.28395,2.739726,14,5,6.060606,"Fitzroy",58,"206071142",81,"21142",8.620689,2,4
88,78,6.097561,2.2727273,5,0,2.5641026,"Hughesdale",82,"208021180",82,"21180",0.0,2,2
182,162,8.61244,13.736263,18,19,7.4074073,"Wendouree - Miners Rest",193,"201011008",209,"21008",9.84456,25,12
60,51,13.157895,5.0,10,2,0.0,"Bacchus Marsh Region",73,"201021009",76,"21009",2.739726,3,0
82,78,4.4444447,3.6585367,4,6,3.8461537,"Creswick - Clunes",96,"201021010",90,"21010",6.25,3,3
59,74,13.265306,15.254237,13,21,0.0,"Daylesford",93,"201021011",98,"21011",22.580645,9,0
57,70,6.6666665,7.017544,4,3,1.4285715,"Gordon (Vic.)",72,"201021012",60,"21012",4.1666665,4,1
32,26,10.0,12.5,3,3,3.8461537,"Avoca",33,"201031013",30,"21013",9.090909,4,1
43,37,2.9411764,6.976744,1,3,2.7027028,"Beaufort",44,"201031014",34,"21014",6.818182,3,1
54,54,4.7619047,1.8518518,3,6,9.259259,"Golden Plains - North",54,"201031015",63,"21015",11.111111,1,5
457,56,6.060606,4.3763676,16,11,3.5714285,"Point Cook - South",111,"213051466",264,"21466",9.90991,20,2
30,48,8.695652,10.0,4,5,8.333333,"Mildura Region",51,"215021398",46,"21398",9.803922,3,4
74,57,9.756098,20.27027,8,1,7.017544,"Red Cliffs",63,"215021399",82,"21399",1.5873016,15,4
225,210,6.048387,7.111111,15,42,8.571428,"Mildura - North",276,"215021469",248,"21469",15.217391,16,18
132,86,3.030303,3.030303,4,10,8.139535,"Blackburn South",124,"207031162",132,"21162",8.064516,4,7
91,70,7.4766355,5.4945054,8,14,1.4285715,"Flora Hill - Spring Gully",99,"202011021",107,"21021",14.141414,5,1
237,222,9.313725,2.1097047,19,21,5.855856,"Kangaroo Flat - Golden Square",276,"202011022",204,"21022",7.6086955,5,13
97,52,3.5294118,4.123711,3,2,1.9230769,"Maiden Gully",97,"202011023",85,"21023",2.0618556,4,1
155,78,3.4965036,4.516129,5,3,8.974359,"Strathfieldsaye",82,"202011024",143,"21024",3.6585367,7,7
115,124,4.040404,2.6086957,4,3,5.645161,"Surrey Hills (East) - Mont Albert",109,"207031167",99,"21167",2.7522936,3,7
199,161,2.9850745,3.517588,6,7,2.484472,"Brighton East",188,"208011170",201,"21170",3.7234042,7,4
203,111,4.9382715,4.4334974,8,4,3.6036036,"White Hills - Ascot",127,"202011025",162,"21025",3.1496062,9,4
100,54,5.319149,6.0,5,5,3.7037036,"Bendigo Region - South",80,"202021026",94,"21026",6.25,6,2
173,145,10.160428,5.780347,19,28,7.586207,"Kilmore - Broadford",186,"204011056",187,"21056",15.053763,10,11
82,53,6.3157897,3.6585367,6,3,0.0,"Mansfield (Vic.)",90,"204011057",95,"21057",3.3333333,3,0
35,33,0.0,2.857143,0,1,30.30303,"Nagambie",49,"204011058",34,"21058",2.0408163,1,10
78,86,25.925926,10.256411,14,3,2.3255813,"Seymour",65,"204011059",54,"21059",4.6153846,8,2
34,26,11.111111,0.0,5,7,30.76923,"Yea",36,"204011062",45,"21062",19.444445,0,8
90,126,11.403509,5.5555553,13,16,3.9682539,"Benalla",131,"204021063",114,"21063",12.21374,5,5
29,16,5.4054055,6.8965516,2,5,6.25,"Benalla Region",37,"204021064",37,"21064",13.513514,2,1
100,74,0.0,4.0,0,2,2.7027028,"Burwood East",97,"207031166",68,"21166",2.0618556,4,2
37,50,5.263158,5.4054055,2,3,4.0,"Rutherglen",56,"204021065",38,"21065",5.357143,2,2
220,220,12.107623,5.0,27,10,4.5454545,"Wangaratta",221,"204021066",223,"21066",4.524887,11,10
104,115,8.256881,1.9230769,9,3,6.0869565,"Wangaratta Region",105,"204021067",109,"21067",2.857143,2,7
185,134,4.6875,9.72973,9,7,10.447762,"Drouin",153,"205011076",192,"21076",4.5751634,18,14
58,56,7.6923075,31.034483,5,2,3.5714285,"Mount Baw Baw Region",64,"205011077",65,"21077",3.125,18,2
108,55,15.53398,4.6296296,16,7,18.181818,"Trafalgar (Vic.)",82,"205011078",103,"21078",8.536586,5,10
205,213,7.725322,8.780488,18,10,9.389671,"Warragul",179,"205011079",233,"21079",5.586592,18,20
164,175,9.473684,6.097561,18,10,6.857143,"Bairnsdale",181,"205021081",190,"21081",5.524862,10,12
0,0,null,null,null,null,null,"Lake King",0,"205021083",0,"21083",null,null,null
116,73,9.174312,11.206897,10,4,24.657534,"Lakes Entrance",84,"205021084",109,"21084",4.7619047,13,18
56,56,5.5555553,7.142857,4,5,8.928572,"Orbost",76,"205021085",72,"21085",6.5789475,4,5
47,40,4.4444447,2.1276596,2,4,15.0,"Paynesville",28,"205021086",45,"21086",14.285714,1,6
133,118,14.141414,9.774436,14,5,8.474576,"Korumburra",109,"205031089",99,"21089",4.587156,13,10
136,139,3.5211267,9.558824,5,1,6.47482,"Leongatha",65,"205031090",142,"21090",1.5384616,13,9
242,218,4.6413503,6.198347,11,30,11.926605,"Wonthaggi - Inverloch",187,"205031093",237,"21093",16.04278,15,26
157,132,7.142857,5.0955415,11,12,6.818182,"Churchill",125,"205041094",154,"21094",9.6,8,9
196,231,9.523809,10.714286,14,11,12.987013,"Moe - Newborough",180,"205041095",147,"21095",6.111111,21,30
168,155,21.212122,30.952381,35,17,9.032258,"Morwell",167,"205041096",165,"21096",10.179641,52,14
324,279,5.952381,9.259259,15,16,10.752688,"Traralgon",237,"205041097",252,"21097",6.751055,30,30
63,62,7.6923075,1.5873016,4,6,20.967741,"Yallourn North - Glengarry",59,"205041098",52,"21098",10.169492,1,13
