,Region,Census year,Mean rent per person,Cost of living proportion
0,Abbotsford,2006,120.91159420289856,0.8882347350914706
1,Abbotsford,2011,173.50720461095105,1.0606793593801673
2,Abbotsford,2016,241.28706939590612,1.2829084242488724
3,Airport West,2006,71.93939393939394,0.7276701440635867
4,Airport West,2011,110.52021089630932,0.8541646258895388
5,Airport West,2016,127.2093352192362,0.9088830662925778
6,Albert Park,2006,161.311072056239,1.0206920395286525
7,Albert Park,2011,225.11304684475417,1.2298788421139482
8,Albert Park,2016,248.6054875787912,1.30690323796325
9,Alphington - Fairfield,2006,106.4928961748634,0.840960315327421
10,Alphington - Fairfield,2011,161.2068328716528,1.020350271710337
11,Alphington - Fairfield,2016,188.069823434992,1.1084256506065313
12,Altona,2006,78.44104410441044,0.748987029850526
13,Altona,2011,114.98476770754,0.8688025170739017
14,Altona,2016,137.60014154281671,0.9429512837469399
15,Altona Meadows,2006,71.50836820083683,0.7262569449207765
16,Altona Meadows,2011,95.7754846779237,0.8058212612390941
17,Altona Meadows,2016,104.99553820412716,0.8360509449315645
18,Altona North,2006,69.35858101629914,0.7192084623485218
19,Altona North,2011,102.50040225261463,0.827870171320048
20,Altona North,2016,122.15560026827632,0.8923134435025453
21,Ardeer - Albion,2006,74.46589446589446,0.735953752347195
22,Ardeer - Albion,2011,113.9242105263158,0.8653252804141501
23,Ardeer - Albion,2016,120.07841328413286,0.8855029943742061
24,Armadale,2006,129.435718809373,0.916182684620895
25,Armadale,2011,189.96612296110413,1.1146430261019808
26,Armadale,2016,211.4658952496955,1.185134082785887
27,Ascot Vale,2006,80.54468802698145,0.7558842230392835
28,Ascot Vale,2011,117.23636363636362,0.8761847988077497
29,Ascot Vale,2016,142.3951465201465,0.958672611541464
30,Ashburton (Vic.),2006,77.61881977671452,0.7462912123826706
31,Ashburton (Vic.),2011,108.58588957055214,0.8478225887559087
32,Ashburton (Vic.),2016,136.07142857142856,0.9379391100702575
33,Ashwood - Chadstone,2006,78.45761670761671,0.7490413662544809
34,Ashwood - Chadstone,2011,110.77045579352004,0.8549851009623608
35,Ashwood - Chadstone,2016,134.26344086021504,0.9320112815089018
36,Aspendale Gardens - Waterways,2006,74.51700680272108,0.7361213337794134
37,Aspendale Gardens - Waterways,2011,113.66507177033492,0.8644756451486391
38,Aspendale Gardens - Waterways,2016,125.7767441860465,0.9041860465116278
39,Bacchus Marsh,2006,59.51366120218579,0.6869300367284781
40,Bacchus Marsh,2011,77.66666666666666,0.746448087431694
41,Bacchus Marsh,2016,89.22529644268775,0.7843452342383205
42,Balwyn,2006,109.22190201729109,0.8499078754665281
43,Balwyn,2011,150.52789699570815,0.9853373671990431
44,Balwyn,2016,172.84952229299364,1.0585230239114545
45,Balwyn North,2006,104.32987312572088,0.8338684364777734
46,Balwyn North,2011,139.65963855421688,0.9497037329646455
47,Balwyn North,2016,158.77958446251128,1.0123920802049549
48,Bayswater,2006,72.48358208955223,0.7294543675067285
49,Bayswater,2011,100.91611687087654,0.8226757930192673
50,Bayswater,2016,117.58001502629602,0.8773115246763803
51,Bayswater North,2006,67.27563249001331,0.7123791229180765
52,Bayswater North,2011,95.5603448275862,0.8051158846806106
53,Bayswater North,2016,102.467680608365,0.827762887240541
54,Beaconsfield - Officer,2006,74.08421052631579,0.734702329594478
55,Beaconsfield - Officer,2011,101.2982456140351,0.8239286741443773
56,Beaconsfield - Officer,2016,106.65936739659368,0.8415061226117825
57,Beaumaris,2006,115.07795100222717,0.869108036072876
58,Beaumaris,2011,162.64015904572562,1.0250497017892644
59,Beaumaris,2016,189.4766536964981,1.1130382088409774
60,Belgrave - Selby,2006,63.45833333333333,0.699863387978142
61,Belgrave - Selby,2011,82.24418604651163,0.7614563476934808
62,Belgrave - Selby,2016,102.60089686098657,0.8281996618393002
63,Bentleigh - McKinnon,2006,98.42442645074225,0.8145063162319418
64,Bentleigh - McKinnon,2011,146.36112742219612,0.9716758276137577
65,Bentleigh - McKinnon,2016,174.76413155190136,1.0648004313177093
66,Bentleigh East (North),2006,88.98081534772183,0.7835436568777765
67,Bentleigh East (North),2011,132.6903023983316,0.926853450486333
68,Bentleigh East (North),2016,155.0153707052441,1.0000503957548987
69,Bentleigh East (South),2006,81.12756598240469,0.7577952983029662
70,Bentleigh East (South),2011,122.45019404915912,0.8932793247513413
71,Bentleigh East (South),2016,152.31788079470198,0.9912061665400065
72,Berwick - North,2006,70.21355060034305,0.7220116413126002
73,Berwick - North,2011,98.58298582151794,0.8150261830213702
74,Berwick - North,2016,109.63385269121812,0.85125853341383
75,Berwick - South,2006,70.64989939637827,0.7234422931028796
76,Berwick - South,2011,96.75247524752476,0.8090245090082779
77,Berwick - South,2016,107.87435456110155,0.8454896870855788
78,Blackburn,2006,80.68316831683168,0.7563382567764974
79,Blackburn,2011,116.39520958083833,0.8734269166584864
80,Blackburn,2016,149.56161971830986,0.9821692449780652
81,Blackburn South,2006,69.3819018404908,0.7192849240671829
82,Blackburn South,2011,96.21857142857144,0.8072740046838408
83,Blackburn South,2016,119.5759162303665,0.8838554630503819
84,Boronia,2006,68.54561611374407,0.7165430036516199
85,Boronia,2011,97.00433604336042,0.8098502821093784
86,Boronia,2016,115.48005766458434,0.8704264185724078
87,Box Hill,2006,93.7968984492246,0.7993340932761462
88,Box Hill,2011,139.88425129087778,0.9504401681668124
89,Box Hill,2016,170.95089285714286,1.0522980093676817
90,Box Hill North,2006,88.04588607594937,0.7804783150031127
