Region,Census year,Total,Mean rent per person
Abbotsford,2006,690,120.91159420289856
Abbotsford,2011,694,173.50720461095105
Abbotsford,2016,2003,241.28706939590614
Airport West,2006,429,71.93939393939394
Airport West,2011,569,110.52021089630932
Airport West,2016,707,127.20933521923621
Albert Park,2006,2276,161.311072056239
Albert Park,2011,2583,225.11304684475417
Albert Park,2016,2697,248.6054875787912
Alphington - Fairfield,2006,915,106.4928961748634
Alphington - Fairfield,2011,1083,161.2068328716528
Alphington - Fairfield,2016,1246,188.06982343499197
Altona,2006,1111,78.44104410441044
Altona,2011,1313,114.98476770753999
Altona,2016,1413,137.60014154281671
Altona Meadows,2006,1434,71.50836820083683
Altona Meadows,2011,1599,95.7754846779237
Altona Meadows,2016,1793,104.99553820412716
Altona North,2006,1043,69.35858101629914
Altona North,2011,1243,102.50040225261463
Altona North,2016,1491,122.15560026827632
Ardeer - Albion,2006,777,74.46589446589446
Ardeer - Albion,2011,950,113.92421052631579
Ardeer - Albion,2016,1084,120.07841328413286
Armadale,2006,1579,129.43571880937301
Armadale,2011,1594,189.96612296110413
Armadale,2016,1642,211.4658952496955
Ascot Vale,2006,1779,80.54468802698145
Ascot Vale,2011,1980,117.23636363636362
Ascot Vale,2016,2184,142.3951465201465
Ashburton (Vic.),2006,627,77.61881977671452
Ashburton (Vic.),2011,652,108.58588957055214
Ashburton (Vic.),2016,616,136.07142857142856
Ashwood - Chadstone,2006,1628,78.45761670761671
Ashwood - Chadstone,2011,1821,110.77045579352004
Ashwood - Chadstone,2016,2232,134.26344086021504
Aspendale Gardens - Waterways,2006,147,74.51700680272108
Aspendale Gardens - Waterways,2011,209,113.66507177033493
Aspendale Gardens - Waterways,2016,215,125.7767441860465
Bacchus Marsh,2006,915,59.51366120218579
Bacchus Marsh,2011,1149,77.66666666666666
Bacchus Marsh,2016,1518,89.22529644268775
Balwyn,2006,1041,109.22190201729107
Balwyn,2011,1165,150.52789699570815
Balwyn,2016,1256,172.84952229299364
Balwyn North,2006,867,104.32987312572087
Balwyn North,2011,996,139.65963855421688
Balwyn North,2016,1107,158.77958446251128
Bayswater,2006,1005,72.48358208955223
Bayswater,2011,1061,100.91611687087654
Bayswater,2016,1331,117.58001502629602
Bayswater North,2006,751,67.27563249001331
Bayswater North,2011,812,95.5603448275862
Bayswater North,2016,789,102.46768060836501
Beaconsfield - Officer,2006,285,74.08421052631579
Beaconsfield - Officer,2011,342,101.2982456140351
Beaconsfield - Officer,2016,822,106.65936739659368
Beaumaris,2006,449,115.07795100222717
Beaumaris,2011,503,162.64015904572562
Beaumaris,2016,514,189.47665369649806
Belgrave - Selby,2006,264,63.45833333333333
Belgrave - Selby,2011,258,82.24418604651163
Belgrave - Selby,2016,223,102.60089686098655
Bentleigh - McKinnon,2006,1482,98.42442645074223
Bentleigh - McKinnon,2011,1703,146.36112742219612
Bentleigh - McKinnon,2016,1946,174.76413155190136
Bentleigh East (North),2006,834,88.98081534772183
Bentleigh East (North),2011,959,132.6903023983316
Bentleigh East (North),2016,1106,155.0153707052441
Bentleigh East (South),2006,682,81.12756598240469
Bentleigh East (South),2011,773,122.45019404915911
Bentleigh East (South),2016,906,152.31788079470198
Berwick - North,2006,1166,70.21355060034305
Berwick - North,2011,1199,98.58298582151794
Berwick - North,2016,1412,109.63385269121812
Berwick - South,2006,994,70.64989939637827
Berwick - South,2011,1414,96.75247524752476
Berwick - South,2016,1743,107.87435456110155
Blackburn,2006,1212,80.68316831683168
Blackburn,2011,1336,116.39520958083833
Blackburn,2016,1704,149.56161971830986
Blackburn South,2006,652,69.3819018404908
Blackburn South,2011,700,96.21857142857144
Blackburn South,2016,764,119.5759162303665
Boronia,2006,1688,68.54561611374407
Boronia,2011,1845,97.00433604336042
Boronia,2016,2081,115.48005766458434
Box Hill,2006,1999,93.79689844922461
Box Hill,2011,2324,139.88425129087778
Box Hill,2016,3136,170.95089285714286
Box Hill North,2006,1264,88.04588607594937
