exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
21.5,451,6.0,1338,60,25.1,875,27.8,"Avoca",15.1,948,null,161,3.5,1087,14.4,3,1226,1019,28,2,null,30.5,6,485,49,1365,8,478,94.6,765,248,null,null,4,23.0,54,3.9,26.7,5.4,7,null,65.7,10.6,60,2,68.1,68.1,7.2,53.7,null,2.2,29.1,50.1,3,3.4,19,2.7,30.1,23.8,219,3,170,143,4.7,1.3,19,14.7,3,69,12,871,13.9,44,664,47,1.9,19,2,0.4,868,"201031013",1363,1209,2,12.8,14,28.4,7.7,96.1,3,6.6,707,2016,4
22.4,500,9.7,1474,89,28.7,1199,32.3,"Beaufort",17.4,1113,null,191,2.6,1220,14.7,4,1440,1238,26,3,null,28.1,10,683,55,1561,14,493,93.9,1106,315,null,16,3,29.1,72,3.9,22.3,6.1,13,null,16.2,19.5,70,4,73.2,57.2,6.9,49.2,null,2.3,31.4,48.7,3,3.2,28,2.9,23.8,26.3,321,null,212,194,4.6,0.8,52,12.5,5,49,12,1036,14.5,41,648,52,1.9,29,3,0.8,1018,"201031014",1552,1628,3,11.4,null,24.4,23.3,96.1,5,7.7,1037,2016,4
25.6,393,13.7,1617,93,30.4,1503,48.4,"Golden Plains - North",22.4,1157,null,138,2.5,1299,20.6,3,1677,1366,27,4,7,20.8,5,906,68,1632,17,536,89.6,1429,415,null,null,3,15.9,113,2.3,17.5,10.4,23,null,11.4,8.2,68,5,81.3,61.5,4.8,41.1,null,2.5,30.4,51.7,3,2.5,25,3.0,22.9,21.4,436,7,223,236,3.0,0.5,18,14.2,7,35,15,1235,7.8,25,805,51,1.9,31,3,0.8,1210,"201031015",1640,1919,4,10.1,14,16.0,10.7,97.7,6,8.9,1347,2016,4
20.1,871,7.2,2265,112,26.0,2033,28.8,"Alexandra",14.3,1667,110,246,5.8,2019,13.5,4,2252,1424,22,4,null,22.7,36,833,102,2549,18,921,93.4,1742,576,null,25,20,23.2,101,7.0,35.7,6.6,37,3,29.4,11.5,100,4,73.8,67.4,7.9,45.6,null,2.1,21.9,51.0,24,6.2,44,2.7,29.4,6.3,411,17,266,318,3.8,0.5,111,11.3,5,192,28,1630,18.9,65,862,72,1.7,32,3,0.7,1613,"204011054",2547,2652,4,11.3,13,20.5,6.0,93.0,4,6.9,1622,2016,5
22.4,888,9.1,2414,100,25.3,1927,28.2,"Euroa",16.4,1835,97,358,3.5,2039,13.6,5,2257,1240,38,3,6,27.4,15,1198,97,2599,33,895,94.8,1712,461,null,49,12,21.3,161,5.3,24.8,5.2,23,null,13.2,10.4,85,3,74.2,67.8,9.3,48.2,null,2.1,27.0,50.0,8,3.5,51,2.7,32.2,15.1,393,4,356,263,3.9,1.1,32,13.2,4,153,18,1664,19.0,57,734,96,1.8,39,3,0.6,1652,"204011055",2607,2614,3,11.5,20,22.1,5.4,94.7,3,7.6,1590,2016,5
26.5,1156,15.1,4408,310,34.4,4895,43.3,"Kilmore - Broadford",22.7,3910,270,252,2.4,3816,21.0,3,4579,1618,65,4,157,21.8,20,3369,261,4845,154,1339,92.1,4644,1216,null,107,9,19.6,448,7.6,13.9,7.9,294,null,16.8,9.0,65,5,81.5,61.8,5.4,31.6,null,2.6,34.3,46.7,10,2.5,94,3.0,20.0,34.1,1301,7,684,652,4.1,1.0,38,11.7,6,112,24,3654,21.6,114,1164,211,1.9,88,4,0.9,3575,"204011056",4843,6047,4,9.4,51,16.1,12.9,92.4,6,7.3,4257,2016,4
15.7,1025,7.5,3088,140,29.3,2970,30.7,"Mansfield (Vic.)",12.2,2116,48,361,4.1,2585,16.7,5,2901,1513,34,5,6,13.1,30,1192,184,3233,26,1080,92.6,2467,704,3,33,31,33.2,171,6.0,51.4,7.4,65,3,18.6,11.0,110,6,78.0,64.3,6.3,44.1,null,2.3,25.3,50.3,42,4.4,46,2.8,28.4,5.1,633,3,353,493,3.5,1.6,41,10.8,6,346,54,2142,19.4,86,1067,85,1.9,67,5,0.9,2124,"204011057",3240,3911,5,10.5,21,17.8,7.2,94.0,6,7.1,2263,2016,6
21.7,478,9.6,1458,98,28.4,1355,29.2,"Nagambie",15.5,1101,25,176,3.7,1265,15.7,4,1413,1414,18,4,7,23.2,12,889,73,1578,21,542,94.6,1210,376,null,45,16,24.0,81,5.7,30.2,5.4,28,3,33.0,11.7,60,5,72.8,64.1,6.5,45.1,null,2.2,29.8,49.4,4,3.5,21,2.7,24.4,17.8,286,9,214,192,4.1,1.1,28,12.2,5,95,14,1067,21.1,41,936,55,1.7,25,4,0.4,1054,"204011058",1568,1764,4,11.7,10,23.3,13.0,94.3,5,8.2,1118,2016,5
22.7,833,7.6,2164,136,36.4,2025,27.9,"Seymour",13.6,2293,30,62,4.1,1821,13.4,1,1779,1270,22,1,42,35.9,10,1410,129,2441,35,620,95.1,1826,434,3,215,19,21.8,256,11.4,20.0,4.9,64,null,65.8,14.2,70,1,71.5,64.4,8.0,34.9,null,2.3,22.3,39.9,5,4.2,78,2.8,20.0,3.6,376,5,376,290,5.0,0.7,26,12.4,1,129,8,1542,32.5,92,860,133,1.8,46,1,0.5,1517,"204011059",2445,2459,1,10.5,29,24.2,6.3,88.6,1,7.4,1666,2016,2
22.6,242,14.9,1330,83,34.3,1669,37.0,"Seymour Region",24.2,881,14,159,2.1,1092,21.7,6,1554,1658,27,7,28,12.5,14,853,76,1360,49,463,91.7,1397,385,null,null,19,36.6,54,2.3,25.5,8.3,79,null,57.0,11.2,70,8,85.1,60.7,3.0,33.0,null,2.7,36.6,51.9,20,2.8,35,3.0,24.1,25.8,443,9,153,235,3.0,0.8,3,11.0,8,204,14,1123,26.3,25,1062,52,1.9,30,6,0.6,1097,"204011060",1361,2151,7,7.7,5,12.9,30.6,97.7,8,6.0,1273,2016,6
