estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
58,1.2,46943,258,27.6,"Tullamarine",41,3793,null,null,48990,3564,6.6,40,null,22.4,3493,397,138,46632,null,0.21,null,89,50120,171.1,14869,14.0,417,24.0,2.1,170,21543,null,7.7,1.6,3.69,0.374,2311,0.43,19339,73,178.6,null,null,32.6,null,252,null,null,"210051250",8.8,82.5,987,null,9.3,479,4.0,null,null,null,null,2015,null,null,99,17.5,15090,42,38
59,2.0,53124,127,22.0,"Strathmore",46,14207,null,null,65221,5902,5.3,46,3086,22.5,5208,661,52,52208,null,0.18,null,23,70354,339.7,22021,21.6,239,33.3,7.2,1073,28058,null,16.5,1.94,5.18,0.48,4825,0.37,25006,105,415.2,null,null,23.2,34403,133,682,null,"210011231",68.5,71.4,813,null,20.8,292,7.8,23.5,null,null,null,2015,null,null,258,32.3,11117,47,42
59,1.8,50001,181,23.1,"Gisborne",47,9245,null,null,63167,7371,6.3,45,3471,23.9,6546,1036,75,51227,null,0.17,null,67,63791,413.5,22277,19.5,543,30.9,7.0,327,27083,null,19.2,1.94,5.13,0.463,5643,0.38,18517,81,470.2,null,null,23.1,28465,173,621,null,"210021232",52.2,74.7,1091,25,16.5,609,6.5,17.7,null,null,null,2015,null,null,260,29.9,7106,46,42
59,2.0,52309,50,21.3,"Macedon",49,18660,null,null,71273,2029,9.1,49,5690,23.7,1681,354,null,52677,null,0.17,null,null,76908,119.8,20549,28.0,108,39.1,2.7,838,27993,null,11.9,2.03,5.55,0.538,1629,0.37,33623,null,156.0,null,null,22.5,42900,28,214,null,"210021233",30.4,65.4,311,null,22.7,120,14.3,9.2,null,null,null,2015,null,null,96,32.5,12285,51,45
59,2.0,49650,62,24.5,"Riddells Creek",50,6874,null,null,60663,2488,7.2,46,3142,23.3,2258,377,null,51123,null,0.18,null,20,60122,137.0,19372,17.9,160,28.9,2.6,285,26596,null,5.1,1.88,4.78,0.444,1878,0.39,13506,26,149.6,null,null,24.5,16847,48,163,null,"210021234",12.9,76.9,301,null,13.4,193,5.7,2.7,null,null,null,2015,null,null,99,27.7,8065,47,44
58,1.0,46014,311,26.2,"Coburg North",40,5088,null,null,53141,3983,8.5,39,2394,24.7,3785,615,121,47036,null,0.2,null,53,53727,201.1,20782,17.4,379,28.0,2.2,213,28642,null,10.9,1.75,4.27,0.421,2756,0.41,17674,118,214.0,null,null,27.4,28169,327,192,null,"210031236",14.0,79.8,903,null,10.2,434,6.2,5.4,null,null,null,2015,null,null,78,21.6,11099,40,37
58,1.0,37524,553,28.6,"Fawkner",37,4436,null,null,45403,5821,12.2,38,4158,31.5,5246,1027,327,40000,null,0.17,null,116,44824,238.2,10094,16.9,1129,28.2,2.5,206,19973,null,18.1,1.84,4.69,0.435,3568,0.39,17588,210,260.9,null,null,24.8,24199,514,213,null,"210031237",15.8,75.3,2188,46,10.9,1238,5.2,5.2,null,null,null,2015,null,null,127,15.0,13258,41,35
59,1.5,50627,619,24.1,"Pascoe Vale",41,5870,null,null,56740,12795,6.3,39,2606,22.1,12227,1526,235,50847,null,0.2,null,133,57658,693.8,18302,16.5,1146,27.0,8.5,283,23512,null,26.2,1.72,4.27,0.413,9340,0.4,17171,281,737.7,null,null,28.3,27777,577,730,null,"210031239",54.8,80.5,2579,65,11.3,1276,5.1,20.3,null,null,null,2015,null,null,361,25.5,9873,40,36
59,1.3,41313,969,29.0,"Glenroy",35,3489,null,null,47231,10466,9.7,36,2937,27.2,9850,1556,447,42732,null,0.19,null,202,47287,465.2,12806,15.9,1425,26.5,5.0,176,21660,null,28.0,1.75,4.29,0.413,6663,0.41,17980,271,494.9,null,null,27.3,26679,769,379,null,"210031438",23.2,79.5,2957,106,9.1,1619,4.9,10.1,null,null,null,2015,null,null,230,16.6,13578,38,34
58,1.3,41979,263,27.3,"Hadfield",37,4045,null,null,49462,2610,10.5,40,2410,28.5,2352,403,121,45008,null,0.17,null,55,47418,116.3,10325,15.9,387,26.6,1.4,287,19456,null,6.8,1.75,4.56,0.419,1725,0.38,16855,73,123.8,null,null,26.7,25534,209,99,null,"210031440",7.0,74.7,803,29,12.8,440,4.7,2.5,null,null,null,2015,null,null,74,17.4,13518,43,39
59,1.0,53528,135,24.0,"Gowanbrae",44,6234,null,null,62165,1727,5.9,41,3500,20.4,1573,195,62,55712,null,0.21,null,28,62148,97.8,10000,16.9,199,27.3,0.9,234,17833,null,3.9,1.75,4.18,0.414,1244,0.42,19845,38,107.3,null,null,26.1,19611,107,104,null,"210031439",7.8,79.1,413,null,13.7,226,5.1,2.0,null,null,null,2015,null,null,49,29.6,11858,42,39
51,1.1,35019,1183,32.8,"Meadow Heights",40,2469,null,null,38874,5484,15.0,38,9250,32.8,5071,1049,811,36140,null,0.21,null,279,38787,197.1,9961,14.7,1867,25.1,1.8,100,17376,null,18.2,1.72,4.13,0.399,2581,0.42,17352,417,212.7,null,null,26.0,22523,1143,78,null,"210051247",6.4,77.1,1159,159,6.5,2024,4.0,1.8,null,null,null,2015,null,null,106,8.4,16258,40,35
57,1.2,35666,1027,32.1,"Broadmeadows",36,1839,null,null,38516,4637,14.3,36,2546,32.6,4476,864,561,36183,null,0.2,null,276,39139,172.4,10348,14.8,1403,25.2,1.6,96,18909,null,15.6,1.66,4.14,0.395,2188,0.4,17998,239,181.5,null,null,26.8,17447,1117,70,null,"210051242",4.0,78.5,1443,129,5.4,1522,4.2,1.2,null,null,null,2015,null,null,85,8.4,14776,38,34
57,0.5,48336,62,25.2,"Mickleham - Yuroke",47,12933,null,null,52424,1356,7.3,40,6915,22.8,1157,200,44,48519,null,0.19,null,30,55278,60.7,9920,18.4,207,28.7,0.4,364,17295,null,3.1,1.64,3.98,0.42,981,0.41,15742,25,75.0,null,null,31.3,189855,79,72,null,"210051445",12.7,72.6,87,null,18.6,241,6.7,13.7,null,null,null,2015,null,null,22,20.7,7351,44,36
59,1.3,44905,474,27.6,"Bayswater",43,3885,null,null,49319,6764,6.1,40,2351,24.7,6524,748,104,45652,null,0.19,null,138,49782,321.8,12076,15.5,808,26.0,4.0,186,23708,null,14.2,1.67,4.01,0.399,4664,0.41,18928,142,336.7,null,null,29.7,19679,370,303,null,"211011251",18.1,81.8,1618,43,10.2,957,4.7,6.0,null,null,null,2015,null,null,167,18.0,11850,42,38
58,1.2,44702,310,26.5,"Knoxfield - Scoresby",45,4456,null,null,52619,8401,6.3,43,3512,25.7,7833,947,99,46553,null,0.17,null,96,52430,412.2,15434,17.5,890,28.1,5.6,226,26074,null,18.4,1.77,4.44,0.428,6141,0.4,19390,223,440.5,null,null,27.1,24634,322,485,null,"211011254",27.4,80.2,1656,31,11.8,1051,6.1,11.9,null,null,null,2015,null,null,213,20.6,11747,45,40
56,1.5,34301,1266,33.3,"Campbellfield - Coolaroo",39,5085,null,null,39000,5640,15.5,37,4292,32.8,5142,1134,903,35103,null,0.19,null,232,39539,200.5,9973,16.5,1730,27.1,2.5,197,19472,null,21.5,1.75,4.17,0.418,2770,0.42,18922,380,223.0,null,null,24.4,35580,1182,115,null,"210051243",14.1,73.0,2231,150,9.5,1870,5.3,4.1,null,null,null,2015,null,null,127,9.4,16607,41,34
59,1.7,45596,598,27.5,"Gladstone Park - Westmeadows",44,4086,null,null,51628,9708,6.6,43,3509,24.0,9115,1101,364,46758,null,0.2,null,175,51625,470.6,14952,16.3,1090,26.7,8.4,245,27187,null,19.4,1.69,4.02,0.408,6774,0.42,17635,229,501.2,null,null,29.2,25175,655,480,null,"210051245",27.7,80.0,2333,80,11.4,1289,5.2,12.1,null,null,null,2015,null,null,308,19.3,12947,45,41
58,0.9,48376,121,25.0,"Rowville - North",45,3457,null,null,58555,4802,5.6,44,3404,23.6,4522,494,55,49876,null,0.18,null,41,57723,264.8,11998,16.6,448,27.7,2.2,184,19789,null,10.8,1.82,4.58,0.425,3583,0.4,21920,82,277.2,null,null,25.4,22328,137,329,null,"211011257",12.4,81.8,564,null,11.3,511,4.9,7.3,null,null,null,2015,null,null,111,26.0,14303,45,41
58,0.9,47626,390,26.9,"Greenvale - Bulla",46,10714,null,null,54815,9157,7.7,43,4392,22.2,8167,1258,256,46540,null,0.22,null,75,58807,447.7,16143,18.8,773,29.9,5.8,348,26919,null,28.7,1.81,4.21,0.435,7008,0.43,22783,215,538.5,null,null,26.4,41027,335,537,null,"210051246",75.1,76.0,988,40,14.8,916,6.3,22.0,null,null,null,2015,null,null,214,24.5,14968,44,39
57,0.7,48778,300,27.7,"Cranbourne East",36,1438,null,null,52372,10417,6.9,35,2120,19.5,9919,1252,167,50212,null,0.24,null,276,51666,519.5,10000,13.9,1699,23.6,2.7,51,16369,null,24.0,1.54,3.24,0.355,6072,0.47,19198,123,538.2,null,null,35.6,14698,396,243,null,"212031301",8.7,86.1,1473,60,5.9,2107,4.3,3.6,null,null,null,2015,null,null,163,17.3,12316,36,35
55,0.7,40112,1075,30.8,"Roxburgh Park - Somerton",39,3495,null,null,45404,8763,12.6,39,5250,27.5,8128,1501,1011,41592,null,0.23,null,222,45638,369.0,10000,15.8,2371,26.2,2.7,73,18620,null,27.5,1.72,3.97,0.404,4635,0.43,18294,484,399.9,null,null,27.5,27744,1226,171,null,"210051249",16.2,79.4,937,156,7.0,2682,5.0,4.7,null,null,null,2015,null,null,145,14.1,15733,40,37
58,0.8,47704,144,27.0,"Cranbourne South",46,8630,null,null,54775,5024,10.0,42,4652,21.8,4456,848,48,47429,null,0.23,null,61,57295,244.1,12504,17.3,393,28.0,2.4,193,20873,null,20.9,1.77,4.06,0.418,3462,0.44,24600,48,287.8,null,null,27.0,47502,148,263,null,"212031303",29.9,75.5,795,null,13.1,503,5.4,12.5,null,null,null,2015,null,null,116,24.2,15561,44,39
55,0.9,44440,329,30.0,"Craigieburn - Central",38,1265,null,null,46050,4277,7.7,39,2354,23.7,4280,480,233,44087,null,0.23,null,159,47029,197.1,9999,13.7,1097,23.6,1.3,83,14243,null,9.5,1.59,3.59,0.367,2350,0.44,19816,133,201.1,null,null,31.8,16764,419,108,null,"210051441",3.0,86.7,463,60,4.4,1277,3.7,1.8,null,null,null,2015,null,null,91,14.5,15096,40,37
56,0.7,46784,173,28.0,"Craigieburn - West",34,1418,null,null,50449,5675,9.2,34,2522,22.0,5353,789,122,48578,null,0.24,null,84,49786,270.1,9920,13.6,577,23.5,1.5,48,17852,null,13.9,1.6,3.61,0.365,3130,0.44,17661,70,282.5,null,null,33.0,15394,221,95,null,"210051444",4.4,85.3,244,32,4.4,672,3.8,1.5,null,null,null,2015,null,null,82,17.0,14476,34,33
55,0.6,47056,361,28.1,"Craigieburn - North",37,2449,null,null,51157,5536,8.0,37,3276,21.5,5421,704,255,47287,null,0.26,null,174,52116,277.3,12518,14.7,1200,24.7,2.3,51,29170,null,12.0,1.63,3.65,0.374,3106,0.45,16990,146,288.5,null,null,31.2,15626,458,106,null,"210051442",7.6,86.0,507,66,5.1,1398,4.3,1.7,null,null,null,2015,null,null,78,19.2,13846,37,36
57,0.8,45519,484,29.8,"Craigieburn - South",38,1415,null,null,48192,7508,7.9,38,2547,22.0,7413,945,342,45556,null,0.24,null,234,48720,357.2,9915,13.9,1613,23.8,2.4,64,16261,null,15.6,1.6,3.51,0.367,4245,0.45,16508,196,365.8,null,null,32.5,26366,616,143,null,"210051443",6.0,86.7,681,89,4.4,1878,3.9,3.8,null,null,null,2015,null,null,146,15.7,13317,39,36
57,0.9,50482,96,24.3,"Lysterfield",47,12991,null,null,60617,4310,6.0,45,5846,21.7,3998,497,33,48153,null,0.21,null,35,66994,242.3,15660,21.5,246,32.9,2.3,359,21913,null,11.8,1.93,4.66,0.467,3388,0.41,23820,59,288.7,null,null,24.4,37253,71,307,null,"211011255",44.0,77.5,321,null,15.1,302,8.0,11.4,null,null,null,2015,null,null,107,29.6,11757,46,42
58,0.8,48864,183,25.2,"Rowville - South",47,5279,null,null,57553,6731,6.4,44,2118,22.4,6310,786,75,49194,null,0.2,null,43,58505,363.2,10285,17.8,517,28.7,3.4,246,22865,null,18.8,1.78,4.28,0.427,5095,0.42,23923,132,393.8,null,null,27.5,22737,199,419,null,"211011258",26.9,80.6,827,27,11.7,596,5.7,9.5,null,null,null,2015,null,null,150,25.0,12517,46,42
