sa2_name_2016, hl_p_homeless_tot, sa2_main16
"Fitzroy",223,"206071142"
"Cranbourne North",100,"212031302"
"Prahran - Windsor",73,"206061136"
"Collingwood",95,"206071141"
"Hadfield",49,"210031440"
"Sunbury",21,"210041240"
"Sunbury - South",45,"210041241"
"Hughesdale",86,"208021180"
"Wendouree - Miners Rest",74,"201011008"
"Bacchus Marsh Region",8,"201021009"
"Creswick - Clunes",4,"201021010"
"Daylesford",22,"201021011"
"Gordon (Vic.)",8,"201021012"
"Avoca",21,"201031013"
"Beaufort",7,"201031014"
"Golden Plains - North",5,"201031015"
"Cranbourne South",37,"212031303"
"Point Cook - South",9,"213051466"
"Mildura Region",7,"215021398"
"Red Cliffs",3,"215021399"
"Mildura - North",119,"215021469"
"Blackburn South",27,"207031162"
"Flora Hill - Spring Gully",46,"202011021"
"Kangaroo Flat - Golden Square",59,"202011022"
"Maiden Gully",4,"202011023"
"Strathfieldsaye",4,"202011024"
"Surrey Hills (East) - Mont Albert",16,"207031167"
"Brighton East",4,"208011170"
"White Hills - Ascot",3,"202011025"
"Bendigo Region - South",9,"202021026"
"Kilmore - Broadford",23,"204011056"
"Mansfield (Vic.)",21,"204011057"
"Nagambie",13,"204011058"
"Seymour",41,"204011059"
"Seymour Region",26,"204011060"
"Upper Yarra Valley",0,"204011061"
"Yea",6,"204011062"
"Benalla",38,"204021063"
"Benalla Region",4,"204021064"
"Rutherglen",6,"204021065"
"Wangaratta",72,"204021066"
"Wangaratta Region",7,"204021067"
"Drouin",32,"205011076"
"Mount Baw Baw Region",4,"205011077"
"Trafalgar (Vic.)",10,"205011078"
"Warragul",38,"205011079"
"Alps - East",0,"205021080"
"Bairnsdale",112,"205021081"
"Bruthen - Omeo",26,"205021082"
"Lake King",0,"205021083"
"Lakes Entrance",35,"205021084"
"Orbost",35,"205021085"
"Paynesville",3,"205021086"
"Foster",10,"205031087"
"French Island",0,"205031088"
"Korumburra",35,"205031089"
"Leongatha",12,"205031090"
"Phillip Island",10,"205031091"
"Wilsons Promontory",0,"205031092"
"Wonthaggi - Inverloch",34,"205031093"
"Churchill",20,"205041094"
"Moe - Newborough",39,"205041095"
"Morwell",109,"205041096"
"Traralgon",58,"205041097"
