"MEASURE","Age","SEX","Sex","INCP","Total Personal Income (weekly)","STATE","State","REGIONTYPE","Region Type","REGION","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20601","Brunswick - Coburg","A","Annual","2011","2011",454,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20601","Brunswick - Coburg","A","Annual","2011","2011",565,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20601","Brunswick - Coburg","A","Annual","2011","2011",1019,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20602","Darebin - South","A","Annual","2011","2011",286,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20602","Darebin - South","A","Annual","2011","2011",327,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20602","Darebin - South","A","Annual","2011","2011",613,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20603","Essendon","A","Annual","2011","2011",516,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20603","Essendon","A","Annual","2011","2011",625,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20603","Essendon","A","Annual","2011","2011",1141,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20604","Melbourne City","A","Annual","2011","2011",592,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20604","Melbourne City","A","Annual","2011","2011",707,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20604","Melbourne City","A","Annual","2011","2011",1299,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20605","Port Phillip","A","Annual","2011","2011",312,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20605","Port Phillip","A","Annual","2011","2011",347,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20605","Port Phillip","A","Annual","2011","2011",659,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20606","Stonnington - West","A","Annual","2011","2011",212,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20606","Stonnington - West","A","Annual","2011","2011",243,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20606","Stonnington - West","A","Annual","2011","2011",455,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20607","Yarra","A","Annual","2011","2011",367,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20607","Yarra","A","Annual","2011","2011",469,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20607","Yarra","A","Annual","2011","2011",836,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20701","Boroondara","A","Annual","2011","2011",1686,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20701","Boroondara","A","Annual","2011","2011",1869,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20701","Boroondara","A","Annual","2011","2011",3555,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20702","Manningham - West","A","Annual","2011","2011",760,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20702","Manningham - West","A","Annual","2011","2011",925,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20702","Manningham - West","A","Annual","2011","2011",1685,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20703","Whitehorse - West","A","Annual","2011","2011",912,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20703","Whitehorse - West","A","Annual","2011","2011",1104,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20801","Bayside","A","Annual","2011","2011",891,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20801","Bayside","A","Annual","2011","2011",1045,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20801","Bayside","A","Annual","2011","2011",1936,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20802","Glen Eira","A","Annual","2011","2011",1100,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20802","Glen Eira","A","Annual","2011","2011",1246,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20803","Kingston","A","Annual","2011","2011",992,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20803","Kingston","A","Annual","2011","2011",1199,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20803","Kingston","A","Annual","2011","2011",2191,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20804","Stonnington - East","A","Annual","2011","2011",328,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20804","Stonnington - East","A","Annual","2011","2011",392,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20804","Stonnington - East","A","Annual","2011","2011",720,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20901","Banyule","A","Annual","2011","2011",1093,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20901","Banyule","A","Annual","2011","2011",1333,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20901","Banyule","A","Annual","2011","2011",2426,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20902","Darebin - North","A","Annual","2011","2011",662,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20902","Darebin - North","A","Annual","2011","2011",843,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20902","Darebin - North","A","Annual","2011","2011",1505,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20903","Nillumbik - Kinglake","A","Annual","2011","2011",740,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20903","Nillumbik - Kinglake","A","Annual","2011","2011",1046,,
"A15","15 - 19","3","Persons","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20903","Nillumbik - Kinglake","A","Annual","2011","2011",1786,,
"A15","15 - 19","1","Males","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2011","2011",1534,,
"A15","15 - 19","2","Females","03","$1-$199       ","2","Victoria","SA3","Statistical Area Level 3","20904","Whittlesea - Wallan","A","Annual","2011","2011",1944,,
