estm_prsnl_incme_yr_end_30_jne_sprnt_anty_erns_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_mdn_tl_excl_gvrnmt_pns_alwncs, slctd_gvrnmnt_pnsns_allwncs_30_jne_dsblty_spprt_pnsn_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_scnd_q, sa2_name_2016, estm_prsnl_incme_yr_end_30_jne_uncrptd_bsn_erns_mdn_age_yrs, estimates_personal_income_year_ended_30_june_mean_investment, exprmntl_hshld_wlth_estmts_mdlld_prvte_dwllngs_mn_nt_wrth, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_n, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_mn_srce_of_pc, estm_prsnl_incme_yr_end_30_jne_tl_erns_excl_gvrnmt_pns_alwncs_m, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_lwst_q, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_nm, estmts_prsnl_incme_yr_endd_30_jne_unncrprtd_bsnss_ernrs_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_pymnt_nm, estimates_personal_income_year_ended_30_june_median_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_nl_pc, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p105_r, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ngtve_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_sngle_nm, estm_prsnl_incme_yr_end_30_jne_mn_tl_excl_gvrnmt_pns_alwncs, estimates_personal_income_year_ended_30_june_total_employee_m, estmts_prsnl_incme_yr_endd_30_jne_mdn_sprnntn_annty, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_0, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_b_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_1, estmts_prsnl_incme_yr_endd_30_jne_ttl_sprnntn_annty_m, estimates_personal_income_year_ended_30_june_median_investment, estmts_prsnl_incme_yr_endd_30_jne_mn_sprnntn_annty, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estmts_prsnl_incme_yr_endd_30_jne_ttl_unncrprtd_bsnss_m, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p805_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p802_r, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_p205_r, estmts_prsnl_incme_yr_endd_30_jne_mn_unncrprtd_bsnss, slctd_gvrnmt_pns_alwncs_30_jne_yth_alwnce_fl_tme_stdnprc_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, equivalised_total_household_income_census_median_weekly, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_thrd_q, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, slctd_gvrnmnt_pnsns_allwncs_30_jne_nwstrt_allwnce_nm, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_prsns_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_cmmnwlth_rnt_assstnce_nm, sa2_maincode_2016, estimates_personal_income_year_ended_30_june_total_investment_m, estmts_prsnl_incme_yr_endd_30_jne_emplye_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_age_pnsn_cntrlnk_nm, slctd_gvrnmnt_pnsns_allwncs_30_jne_yth_allwnce_nm, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_mn_srce_of_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_fmly_tx_bnft_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_shre_o, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_amnt_m, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_crr_allwnce_nm, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_indqtly_dscrb_std_pc, slctd_gvrnmnt_pnsns_allwncs_30_jne_prntng_pymnt_prtnrd_nm, estmts_prsnl_incme_yr_endd_30_jne_sprnntn_annty_ernrs_nm, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_hgst_q, estmts_prsnl_incme_yr_endd_30_jne_mdn_unncrprtd_bsnss, estmts_prsnl_incme_yr_endd_30_jne_invstmnt_ernrs_mdn_age_yrs, estmts_prsnl_incme_yr_endd_30_jne_emplye_ernrs_mdn_age_yrs
58,1.5,49066,258,27.0,"Tullamarine",39,3419,546.9,30.0,51818,3542,6.1,40,1374,21.1,3444,418,132,49542,8.2,0.22,0.6,86,52443,178.5,12864,14.0,394,23.9,2.4,149,21666,0.6,6.7,1.58,3.63,0.37,2324,0.44,15971,78,185.8,26.0,780,33.5,16159,262,117,null,"210051250",7.9,83.6,1004,25,8.3,459,3.9,1.9,2.5,null,22.6,2016,9.7,null,112,18.4,10525,41,38
60,2.0,55979,121,22.1,"Strathmore",46,14928,1491.1,24.1,68609,5934,5.6,46,2327,21.6,5214,694,59,54999,8.4,0.17,0.5,20,74103,357.7,23361,21.7,236,33.4,6.8,948,29328,6.1,20.7,1.94,5.19,0.482,4892,0.37,29784,114,439.7,21.0,1150,22.7,33850,122,665,null,"210011231",73.0,71.0,800,11,20.9,300,8.1,22.5,7.5,null,25.9,2016,6.6,null,231,33.6,12202,47,42
59,1.9,52218,160,22.4,"Gisborne",46,9208,1092.3,24.5,66667,7619,6.5,45,2922,23.7,6712,1054,76,54179,9.5,0.16,0.4,58,66530,447.5,21398,19.1,448,30.7,9.0,288,31997,4.5,19.4,1.97,5.39,0.465,5811,0.37,18437,77,506.9,21.6,1040,22.6,59978,158,579,null,"210021232",53.5,75.0,1144,24,16.2,581,6.5,34.7,7.3,null,24.6,2016,7.7,null,282,31.2,9430,46,42
59,1.8,53235,45,20.6,"Macedon",51,16845,1557.7,22.6,73054,1998,8.9,49,4677,24.6,1648,352,12,55194,9.3,0.14,0.4,9,75926,120.4,18530,25.5,74,37.1,2.5,789,28379,6.6,11.4,2.05,5.83,0.526,1568,0.35,32511,15,151.7,21.6,1148,21.2,64095,31,215,null,"210021233",26.4,65.4,314,null,23.0,106,12.0,13.8,7.5,null,23.6,2016,8.6,null,89,33.6,11024,51,45
59,2.1,50967,59,24.6,"Riddells Creek",49,6513,1100.2,24.8,61919,2514,7.3,46,4076,22.3,2273,405,20,53277,8.8,0.2,0.5,23,61048,140.7,13569,16.9,144,27.8,2.5,281,23095,3.0,6.4,1.86,4.6,0.428,1897,0.4,15892,23,153.5,24.2,1038,25.4,30543,48,164,null,"210021234",12.4,76.6,319,null,13.5,189,5.2,5.0,6.7,null,26.1,2016,6.1,null,108,27.8,6725,48,44
58,1.0,46853,297,26.3,"Coburg North",41,4440,766.2,29.3,55452,4160,7.9,39,3182,24.5,3979,597,115,48843,8.4,0.19,0.4,50,55706,220.6,14611,17.8,354,28.4,1.8,180,23680,1.9,10.7,1.81,4.49,0.431,2912,0.4,17897,121,231.7,21.8,898,26.4,31717,259,198,null,"210031236",12.9,80.4,886,25,10.1,434,6.6,6.3,4.8,null,23.1,2016,10.4,null,75,22.8,12207,40,36
57,1.0,38676,513,29.6,"Fawkner",37,4708,606.9,37.5,48034,6029,12.2,38,3502,29.9,5382,1084,328,41969,12.9,0.18,0.6,110,46888,258.5,9988,17.2,1087,28.5,3.1,178,24543,0.7,18.1,1.86,4.55,0.436,3667,0.41,16653,179,282.7,21.7,605,24.7,42495,476,200,null,"210031237",17.3,75.3,2100,52,10.9,1237,5.5,8.5,2.2,null,15.4,2016,9.0,null,126,15.8,13395,41,35
60,1.3,50633,187,23.0,"Ringwood North",46,9148,1239.0,26.4,63071,6051,6.2,45,1966,24.7,5290,725,36,52150,9.7,0.16,0.4,31,63355,333.6,17291,19.1,274,30.6,4.7,444,27245,3.9,16.6,1.92,5.34,0.462,4819,0.36,22947,77,383.4,21.6,1055,23.8,29273,111,573,null,"211031268",44.1,74.5,960,15,17.4,395,6.1,16.8,6.7,null,26.0,2016,5.3,null,171,28.6,11563,47,42
59,1.3,51901,597,24.3,"Pascoe Vale",40,5279,829.9,25.3,59902,13087,6.5,38,2452,21.4,12390,1631,234,53371,9.5,0.19,0.4,134,60036,742.2,18982,16.6,1038,27.2,9.6,226,28438,2.1,31.2,1.76,4.33,0.414,9667,0.41,19126,278,785.7,22.0,970,27.9,24510,563,690,null,"210031239",51.0,81.0,2558,41,10.8,1279,5.3,16.9,5.9,null,26.5,2016,8.4,null,337,26.4,9773,40,36
58,1.2,43078,903,28.4,"Glenroy",35,3444,494.1,31.7,49014,11042,10.0,36,1953,26.7,10380,1712,435,44627,10.5,0.19,0.5,191,48891,508.8,13456,15.8,1397,26.5,5.6,137,22310,0.8,31.8,1.75,4.39,0.414,7064,0.4,18551,267,539.9,24.1,744,27.5,27581,734,420,null,"210031438",24.3,79.3,2922,80,9.1,1641,4.7,11.6,3.0,null,19.2,2016,10.2,null,251,17.5,13846,38,34
59,1.4,44034,245,26.5,"Hadfield",38,4783,622.3,36.8,52700,2629,10.0,40,2049,27.0,2366,391,118,47514,9.3,0.17,0.7,52,50759,124.7,10000,16.2,379,26.8,1.3,265,18259,0.8,7.0,1.79,4.64,0.422,1718,0.39,17902,73,133.4,22.0,675,26.9,23496,199,124,null,"210031440",8.2,75.5,793,22,12.3,446,5.1,2.9,2.5,null,18.7,2016,9.1,null,70,19.6,12034,42,38
60,1.4,55660,126,24.2,"Gowanbrae",44,6737,862.5,22.8,64477,1733,5.6,42,2769,18.7,1592,201,61,57639,9.4,0.22,0.4,27,63903,102.6,13681,15.9,195,26.5,1.3,183,23814,2.9,3.5,1.72,4.01,0.402,1279,0.43,17211,37,110.7,22.1,1020,27.2,23545,103,124,null,"210031439",8.6,79.2,408,11,13.3,229,4.6,2.9,6.4,null,29.0,2016,7.3,null,54,29.9,13385,43,40
