Brunswick,{'15 - 19': [383, 264.0130548302872], '20 - 24': [2252, 562.2859680284192], '25 - 29': [3637, 982.2983227935111], '30 - 34': [3178, 1312.9251101321586], '35 - 39': [2254, 1471.0869565217392], '40 - 44': [1557, 1514.460500963391], '45 - 49': [1284, 1454.1557632398753], '50 - 54': [996, 1351.1044176706828], '55 - 59': [984, 1255.1839430894308], '60 - 64': [730, 991.2164383561644], '65 - 69': [636, 729.7924528301887], '70 - 74': [483, 507.4347826086956], '75 - 79': [463, 462.6328293736501], '80 - 84': [365, 415.0876712328767]}
Brunswick East,{'15 - 19': [131, 240.33587786259542], '20 - 24': [884, 587.2805429864253], '25 - 29': [1644, 1021.4829683698297], '30 - 34': [1469, 1345.3362831858408], '35 - 39': [1012, 1528.4229249011858], '40 - 44': [679, 1585.561119293078], '45 - 49': [541, 1454.3419593345657], '50 - 54': [423, 1411.839243498818], '55 - 59': [345, 1331.1333333333334], '60 - 64': [269, 1036.6840148698884], '65 - 69': [271, 786.8523985239852], '70 - 74': [199, 583.7989949748744], '75 - 79': [154, 355.7922077922078], '80 - 84': [153, 367.1372549019608]}
Brunswick West,{'15 - 19': [233, 225.78111587982832], '20 - 24': [1014, 550.3786982248521], '25 - 29': [1597, 926.4452097683156], '30 - 34': [1336, 1195.6002994011976], '35 - 39': [1057, 1420.124881740776], '40 - 44': [842, 1436.206650831354], '45 - 49': [768, 1342.625], '50 - 54': [660, 1274.3454545454545], '55 - 59': [514, 1245.2451361867704], '60 - 64': [484, 1043.7727272727273], '65 - 69': [377, 801.3289124668435], '70 - 74': [310, 538.0322580645161], '75 - 79': [272, 449.41911764705884], '80 - 84': [204, 402.921568627451]}
Coburg,{'15 - 19': [453, 215.6269315673289], '20 - 24': [1646, 558.7885783718104], '25 - 29': [2277, 869.2626262626262], '30 - 34': [2294, 1202.802964254577], '35 - 39': [1972, 1338.2971602434077], '40 - 44': [1786, 1392.357222844345], '45 - 49': [1649, 1320.5081867798665], '50 - 54': [1368, 1196.3099415204679], '55 - 59': [1163, 1064.049011177988], '60 - 64': [963, 866.6947040498443], '65 - 69': [780, 622.6705128205128], '70 - 74': [611, 449.7659574468085], '75 - 79': [587, 402.13117546848383], '80 - 84': [455, 406.3692307692308]}
Pascoe Vale South,{'15 - 19': [241, 170.18672199170123], '20 - 24': [505, 517.1188118811881], '25 - 29': [518, 997.3243243243244], '30 - 34': [553, 1367.0379746835442], '35 - 39': [657, 1388.041095890411], '40 - 44': [704, 1406.9602272727273], '45 - 49': [717, 1387.189679218968], '50 - 54': [659, 1383.2746585735963], '55 - 59': [505, 1136.0831683168317], '60 - 64': [386, 908.4818652849741], '65 - 69': [307, 660.1335504885993], '70 - 74': [206, 468.3980582524272], '75 - 79': [203, 494.13793103448273], '80 - 84': [184, 505.5217391304348]}
Alphington - Fairfield,{'15 - 19': [233, 176.42489270386267], '20 - 24': [546, 550.6849816849817], '25 - 29': [714, 1014.5882352941177], '30 - 34': [728, 1362.4642857142858], '35 - 39': [555, 1655.3027027027026], '40 - 44': [592, 1653.1351351351352], '45 - 49': [656, 1590.121951219512], '50 - 54': [588, 1452.1632653061224], '55 - 59': [477, 1402.3962264150944], '60 - 64': [374, 1219.0534759358288], '65 - 69': [308, 840.2207792207793], '70 - 74': [185, 594.4594594594595], '75 - 79': [157, 437.07643312101914], '80 - 84': [133, 376.4135338345865]}
Northcote,{'15 - 19': [431, 168.122969837587], '20 - 24': [1329, 558.915726109857], '25 - 29': [2241, 1008.6541722445337], '30 - 34': [2283, 1397.8773543583004], '35 - 39': [1887, 1561.803391626921], '40 - 44': [1808, 1578.7621681415928], '45 - 49': [1799, 1568.7443023902167], '50 - 54': [1348, 1502.382047477745], '55 - 59': [1127, 1280.3114463176576], '60 - 64': [841, 1118.7384066587397], '65 - 69': [711, 808.0407876230661], '70 - 74': [537, 581.0279329608938], '75 - 79': [515, 453.6097087378641], '80 - 84': [377, 423.1034482758621]}
Thornbury,{'15 - 19': [260, 192.6846153846154], '20 - 24': [1050, 557.8571428571429], '25 - 29': [1621, 930.3991363355954], '30 - 34': [1700, 1227.6023529411764], '35 - 39': [1575, 1403.7777777777778], '40 - 44': [1439, 1426.252258512856], '45 - 49': [1186, 1367.768971332209], '50 - 54': [961, 1245.0093652445369], '55 - 59': [774, 1151.764857881137], '60 - 64': [594, 879.3080808080808], '65 - 69': [460, 650.1], '70 - 74': [359, 484.24791086350973], '75 - 79': [391, 426.6521739130435], '80 - 84': [373, 434.7640750670241]}
Ascot Vale,{'15 - 19': [308, 192.55844155844156], '20 - 24': [845, 584.1278106508876], '25 - 29': [1240, 978.4806451612903], '30 - 34': [1275, 1386.1027450980391], '35 - 39': [1059, 1600.318224740321], '40 - 44': [1002, 1550.7125748502995], '45 - 49': [982, 1526.562118126273], '50 - 54': [781, 1381.6760563380283], '55 - 59': [756, 1346.5079365079366], '60 - 64': [594, 1017.3636363636364], '65 - 69': [430, 825.0441860465116], '70 - 74': [292, 595.4554794520548], '75 - 79': [226, 448.06637168141594], '80 - 84': [177, 414.01129943502826]}
Essendon - Aberfeldie,{'15 - 19': [772, 173.82901554404145], '20 - 24': [1685, 591.4391691394659], '25 - 29': [1914, 1079.2507836990596], '30 - 34': [1963, 1370.1390728476822], '35 - 39': [1519, 1510.171823568137], '40 - 44': [1724, 1585.0974477958237], '45 - 49': [1863, 1578.4889962426194], '50 - 54': [1684, 1547.7357482185273], '55 - 59': [1561, 1409.5957719410635], '60 - 64': [1282, 1196.6599063962558], '65 - 69': [966, 871.5310559006211], '70 - 74': [620, 757.6903225806452], '75 - 79': [546, 647.6483516483516], '80 - 84': [401, 545.1246882793017]}
Flemington,{'15 - 19': [226, 212.57079646017698], '20 - 24': [771, 558.6446173800259], '25 - 29': [1116, 959.6317204301075], '30 - 34': [1020, 1280.736274509804], '35 - 39': [730, 1402.66301369863], '40 - 44': [532, 1363.7857142857142], '45 - 49': [486, 1215.6090534979423], '50 - 54': [374, 1181.0320855614973], '55 - 59': [355, 1149.0704225352113], '60 - 64': [328, 915.2743902439024], '65 - 69': [253, 695.3794466403162], '70 - 74': [137, 493.0875912408759], '75 - 79': [140, 422.6], '80 - 84': [108, 370.1111111111111]}
Moonee Ponds,{'15 - 19': [323, 195.06811145510835], '20 - 24': [896, 620.171875], '25 - 29': [1020, 1031.9882352941177], '30 - 34': [1087, 1389.3652253909843], '35 - 39': [957, 1630.1086729362592], '40 - 44': [913, 1692.7261774370209], '45 - 49': [889, 1665.9201349831271], '50 - 54': [845, 1588.4958579881657], '55 - 59': [754, 1401.3607427055704], '60 - 64': [575, 1212.5234782608695], '65 - 69': [528, 832.4829545454545], '70 - 74': [326, 598.6319018404907], '75 - 79': [291, 540.7491408934708], '80 - 84': [270, 428.0814814814815]}
Carlton,{'15 - 19': [744, 392.30645161290323], '20 - 24': [2660, 535.8894736842105], '25 - 29': [2223, 934.5555555555555], '30 - 34': [1357, 1247.5549005158439], '35 - 39': [722, 1370.1024930747922], '40 - 44': [486, 1319.679012345679], '45 - 49': [440, 1277.1045454545454], '50 - 54': [380, 1222.8342105263157], '55 - 59': [352, 1112.8181818181818], '60 - 64': [323, 1189.8235294117646], '65 - 69': [285, 1069.3368421052633], '70 - 74': [188, 848.4468085106383], '75 - 79': [172, 763.4069767441861], '80 - 84': [105, 759.1142857142858]}
Docklands,{'15 - 19': [122, 340.8524590163934], '20 - 24': [785, 674.2713375796178], '25 - 29': [1683, 1110.0843731431967], '30 - 34': [1354, 1563.3382570162482], '35 - 39': [775, 1730.1483870967743], '40 - 44': [462, 1775.3463203463205], '45 - 49': [403, 1875.6898263027294], '50 - 54': [409, 1863.1858190709047], '55 - 59': [361, 1623.7368421052631], '60 - 64': [246, 1698.138211382114], '65 - 69': [232, 1424.0603448275863], '70 - 74': [98, 1374.0], '75 - 79': [37, 1257.3783783783783], '80 - 84': [12, 498.5]}
