Brunswick,1095
Brunswick East,1149
Brunswick West,1044
Coburg,997
Pascoe Vale South,1072
Alphington - Fairfield,1195
Northcote,1194
Thornbury,1062
Ascot Vale,1173
Essendon - Aberfeldie,1193
Flemington,1017
Moonee Ponds,1217
Carlton,919
Docklands,1398
East Melbourne,1610
Kensington (Vic.),1263
Melbourne,992
North Melbourne,1084
Parkville,933
South Yarra - West,1536
Southbank,1360
Albert Park,1550
Elwood,1416
Port Melbourne,1510
South Melbourne,1408
St Kilda,1273
St Kilda East,1216
Armadale,1418
Prahran - Windsor,1335
South Yarra - East,1385
Toorak,1624
Abbotsford,1292
Carlton North - Princes Hill,1262
Collingwood,1207
Fitzroy,1231
Fitzroy North,1282
Richmond (Vic.),1335
Yarra - North,1348
Ashburton (Vic.),1288
Balwyn,1222
Balwyn North,1189
Camberwell,1348
Glen Iris - East,1422
Hawthorn,1338
Hawthorn East,1358
Kew,1374
Kew East,1275
Surrey Hills (West) - Canterbury,1399
Bulleen,1010
Doncaster,956
Templestowe,1116
Templestowe Lower,1015
Doncaster East (North),1001
Doncaster East (South),945
Blackburn,1108
Blackburn South,1004
Box Hill,967
Box Hill North,1038
Burwood,872
Burwood East,894
Surrey Hills (East) - Mont Albert,1305
Beaumaris,1310
Brighton (Vic.),1548
Brighton East,1343
Cheltenham - Highett (West),1187
Hampton,1309
Sandringham - Black Rock,1374
Bentleigh - McKinnon,1179
Carnegie,1113
Caulfield - North,1297
Caulfield - South,1247
Elsternwick,1312
Hughesdale,1062
Murrumbeena,1139
Ormond - Glen Huntly,1125
Bentleigh East (North),1105
Bentleigh East (South),1075
Aspendale Gardens - Waterways,1037
Carrum - Patterson Lakes,1049
Chelsea - Bonbeach,1009
Chelsea Heights,898
Cheltenham - Highett (East),1026
Edithvale - Aspendale,1114
Mentone,1103
Moorabbin - Heatherton,1033
Mordialloc - Parkdale,1129
Malvern - Glen Iris,1423
Malvern East,1295
Bundoora - East,862
Greensborough,1031
Heidelberg - Rosanna,1136
Heidelberg West,854
Ivanhoe,1253
Ivanhoe East - Eaglemont,1386
Montmorency - Briar Hill,1077
Viewbank - Yallambie,1045
Watsonia,960
Kingsbury,858
Reservoir - East,803
Reservoir - West,845
Preston - East,907
Preston - West,983
Eltham,1152
Hurstbridge,985
Kinglake,897
Panton Hill - St Andrews,1042
Plenty - Yarrambat,1110
Research - North Warrandyte,1215
Wattle Glen - Diamond Creek,1063
Bundoora - North,906
Bundoora - West,761
Lalor,691
Mill Park - North,853
Mill Park - South,814
Thomastown,650
Wallan,927
Whittlesea,903
Doreen,1015
Epping - East,787
Epping - South,733
Epping - West,889
Mernda,967
South Morang (North),982
South Morang (South),883
Wollert,904
Airport West,964
Keilor,970
Keilor East,911
Niddrie - Essendon West,1115
Strathmore,1167
Gisborne,1102
Macedon,1195
Riddells Creek,1051
Romsey,970
Coburg North,955
Fawkner,736
Pascoe Vale,1031
Glenroy,818
Gowanbrae,1046
Hadfield,760
Sunbury,968
Sunbury - South,927
Broadmeadows,598
Campbellfield - Coolaroo,560
Gladstone Park - Westmeadows,826
Greenvale - Bulla,973
Meadow Heights,584
Melbourne Airport,1491
Roxburgh Park - Somerton,679
Tullamarine,820
Craigieburn - Central,770
Craigieburn - North,902
Craigieburn - South,813
Craigieburn - West,871
Mickleham - Yuroke,966
Bayswater,864
Knoxfield - Scoresby,925
Lysterfield,1103
Rowville - Central,961
Rowville - North,997
Rowville - South,1018
Wantirna,936
Wantirna South,943
Boronia,860
Ferntree Gully (North),892
Ferntree Gully (South) - Upper Ferntree Gully,909
The Basin,939
Donvale - Park Orchards,1125
Warrandyte - Wonga Park,1205
Bayswater North,908
Croydon Hills - Warranwood,1057
Ringwood,927
Ringwood East,1001
Ringwood North,1070
Croydon - East,909
Croydon - West,934
Croydon South,934
Forest Hill,931
Mitcham (Vic.),1065
Nunawading,1008
Vermont,1020
Vermont South,975
Belgrave - Selby,997
Chirnside Park,942
Healesville - Yarra Glen,864
Kilsyth,866
Lilydale - Coldstream,906
Monbulk - Silvan,897
Montrose,950
Mooroolbark,916
Mount Dandenong - Olinda,1046
