Brunswick,19202
Brunswick East,8174
Brunswick West,9668
Coburg,18004
Pascoe Vale South,6345
Alphington - Fairfield,6246
Northcote,17234
Thornbury,12743
Ascot Vale,9967
Essendon - Aberfeldie,18500
Flemington,6576
Moonee Ponds,9674
Carlton,10437
Docklands,6979
East Melbourne,3638
Kensington (Vic.),7732
Melbourne,21574
North Melbourne,13145
Parkville,4802
South Yarra - West,4254
Southbank,12799
Albert Park,10536
Elwood,10916
Port Melbourne,11469
South Melbourne,8150
St Kilda,18712
St Kilda East,11868
Armadale,6269
Prahran - Windsor,14700
South Yarra - East,15173
Toorak,8883
Abbotsford,6248
Carlton North - Princes Hill,6325
Collingwood,5975
Fitzroy,7162
Fitzroy North,8918
Richmond (Vic.),22963
Yarra - North,6351
Ashburton (Vic.),4901
Balwyn,9928
Balwyn North,12428
Camberwell,13705
Glen Iris - East,10535
Hawthorn,15926
Hawthorn East,10153
Kew,15978
Kew East,4094
Surrey Hills (West) - Canterbury,10423
Bulleen,7269
Doncaster,13706
Templestowe,10839
Templestowe Lower,8793
Doncaster East (North),9506
Doncaster East (South),8755
Blackburn,13683
Blackburn South,6731
Box Hill,12375
Box Hill North,11237
Burwood,7220
Burwood East,6826
Surrey Hills (East) - Mont Albert,6647
Beaumaris,8811
Brighton (Vic.),14423
Brighton East,9746
Cheltenham - Highett (West),6958
Hampton,11381
Sandringham - Black Rock,10739
Bentleigh - McKinnon,14034
Carnegie,11926
Caulfield - North,13050
Caulfield - South,11204
Elsternwick,7544
Hughesdale,4936
Murrumbeena,6228
Ormond - Glen Huntly,8749
Bentleigh East (North),9180
Bentleigh East (South),8449
Aspendale Gardens - Waterways,5867
Carrum - Patterson Lakes,7842
Chelsea - Bonbeach,9383
Chelsea Heights,3505
Cheltenham - Highett (East),14659
Edithvale - Aspendale,8305
Mentone,8785
Moorabbin - Heatherton,5539
Mordialloc - Parkdale,13154
Malvern - Glen Iris,13270
Malvern East,13577
Bundoora - East,6389
Greensborough,13870
Heidelberg - Rosanna,9547
Heidelberg West,8880
Ivanhoe,7777
Ivanhoe East - Eaglemont,5161
Montmorency - Briar Hill,11029
Viewbank - Yallambie,12182
Watsonia,6144
Kingsbury,6884
Reservoir - East,17316
Reservoir - West,15571
Preston - East,13351
Preston - West,8057
Eltham,15410
Hurstbridge,2292
Kinglake,2400
Panton Hill - St Andrews,3345
Plenty - Yarrambat,6199
Research - North Warrandyte,4319
Wattle Glen - Diamond Creek,9190
Bundoora - North,4806
Bundoora - West,4131
Lalor,14540
Mill Park - North,11851
Mill Park - South,7893
Thomastown,13187
Wallan,9845
Whittlesea,5101
Doreen,12503
Epping - East,8156
Epping - South,5303
Epping - West,6261
Mernda,9690
South Morang (North),7157
South Morang (South),7571
Wollert,5095
Airport West,5134
Keilor,5694
Keilor East,17271
Niddrie - Essendon West,4511
Strathmore,6232
Gisborne,8008
Macedon,2103
Riddells Creek,2633
Romsey,5934
Coburg North,4856
Fawkner,7982
Pascoe Vale,15088
Glenroy,13733
Gowanbrae,1785
Hadfield,3567
Sunbury,8295
Sunbury - South,17595
Broadmeadows,7600
Campbellfield - Coolaroo,9408
Gladstone Park - Westmeadows,11857
Greenvale - Bulla,10471
Meadow Heights,8585
Melbourne Airport,33
Roxburgh Park - Somerton,12273
Tullamarine,4358
Craigieburn - Central,5110
Craigieburn - North,6395
Craigieburn - South,9794
Craigieburn - West,7904
Mickleham - Yuroke,2096
Bayswater,7980
Knoxfield - Scoresby,9924
Lysterfield,4239
Rowville - Central,10323
Rowville - North,5251
Rowville - South,7036
Wantirna,9207
Wantirna South,12016
Boronia,14967
Ferntree Gully (North),9389
Ferntree Gully (South) - Upper Ferntree Gully,9946
The Basin,2787
Donvale - Park Orchards,10282
Warrandyte - Wonga Park,6658
Bayswater North,7768
Croydon Hills - Warranwood,12181
Ringwood,11435
Ringwood East,13633
Ringwood North,6355
Croydon - East,10234
Croydon - West,8850
Croydon South,3079
Forest Hill,7021
Mitcham (Vic.),10972
Nunawading,7587
Vermont,6799
Vermont South,7732
Belgrave - Selby,6587
Chirnside Park,6750
Healesville - Yarra Glen,9113
Kilsyth,6033
Lilydale - Coldstream,12587
Monbulk - Silvan,3697
Montrose,4360
Mooroolbark,14703
Mount Dandenong - Olinda,6510
Mount Evelyn,6380
Upwey - Tecoma,6552
Wandin - Seville,4945
Yarra Valley,10485
Beaconsfield - Officer,8529
Bunyip - Garfield,5449
Emerald - Cockatoo,11487
Koo Wee Rup,4634
Pakenham - North,11388
Pakenham - South,17117
Berwick - North,15110
Berwick - South,15236
Doveton,6670
Hallam,6585
Narre Warren North,4912
Endeavour Hills - North,7432
Endeavour Hills - South,8464
Narre Warren - North East,8496
Narre Warren - South West,8657
Cranbourne,12065
Cranbourne East,14665
Cranbourne North,11740
Cranbourne South,5524
Cranbourne West,8949
Hampton Park - Lynbrook,14780
Lynbrook - Lyndhurst,8602
Pearcedale - Tooradin,4928
Narre Warren South (East),8109
Narre Warren South (West),9704
Clarinda - Oakleigh South,7570
Clayton South,7817
Dandenong,17511
Dandenong North,13905
Dingley Village,6744
Keysborough,15994
Noble Park North,4783
Springvale,12729
Springvale South,7652
Noble Park - East,7622
Noble Park - West,11203
Ashwood - Chadstone,11271
Clayton,12244
Glen Waverley - East,12906
Glen Waverley - West,11496
Mount Waverley - North,9338
Mount Waverley - South,11158
Mulgrave,12096
Oakleigh - Huntingdale,13295
Wheelers Hill,12491
Ardeer - Albion,4777
Cairnlea,5667
Deer Park - Derrimut,15286
Delahey,5264
Keilor Downs,8594
Kings Park (Vic.),8429
St Albans - North,11784
St Albans - South,10129
Sunshine,5948
Sunshine North,6876
Sunshine West,11368
Sydenham,7210
Taylors Lakes,11533
Altona,8151
Altona Meadows,12544
Altona North,8272
Newport,11328
Seabrook,3033
Williamstown,9777
Braybrook,11195
Footscray,10974
Maribyrnong,8132
Seddon - Kingsville,6127
West Footscray - Tottenham,7507
Yarraville,9825
Bacchus Marsh,12782
Hillside,12365
Melton,11616
Melton South,13941
Melton West,10418
Rockbank - Mount Cottrell,1050
Taylors Hill,10588
Burnside,2807
Burnside Heights,3318
Caroline Springs,11447
Hoppers Crossing - North,12049
Hoppers Crossing - South,12161
Laverton,5460
Tarneit,18915
Truganina,12181
Werribee - South,7186
Wyndham Vale,13409
Point Cook - East,6887
Point Cook - North,13234
Point Cook - South,7953
Werribee - East,11968
Werribee - West,7598
Carrum Downs,13004
Frankston,14755
Frankston North,12071
Frankston South,11552
Langwarrin,15792
Seaford (Vic.),10665
Skye - Sandhurst,8331
Dromana,7364
Flinders,3510
Hastings - Somers,14302
Mornington,15397
Mount Eliza,11049
Mount Martha,11508
Point Nepean,11081
Rosebud - McCrae,12992
Somerville,11877
Braeside,3
Flemington Racecourse,3
Port Melbourne Industrial,3
