location,Average income
Brunswick - Coburg,730.3183989555826
Essendon,726.4515515773214
Melbourne City,745.5948789293352
Port Phillip,966.1137531659576
Stonnington - West,43739834.5
Yarra,892.4100310865115
Boroondara,885.0100748767273
Manningham - West,694.671509543248
Whitehorse - West,692.8025916177364
Bayside,742.1902636284816
Glen Eira,784.2534177573149
Kingston,605.0135714125485
Stonnington - East,885.2248067982389
Banyule,602.6850059651143
Darebin - North,538.4940200643471
Nillumbik - Kinglake,621.2802753110104
Whittlesea - Wallan,596.1443834430598
Keilor,644.4538781770377
Macedon Ranges,644.4020705632511
Moreland - North,573.4781195253662
Sunbury,583.8388509220783
Tullamarine - Broadmeadows,401.2355251016041
Knox,687.1543063282194
Manningham - East,810.1113029521911
Maroondah,592.1908839877644
Whitehorse - East,719.6246148908857
Yarra Ranges,560.9197888150176
Cardinia,560.9784230762479
Casey - North,635.6819005829883
Casey - South,544.0783895018769
Dandenong,469.8378835788717
Monash,575.0721837404302
Brimbank,517.158119294363
Hobsons Bay,46028451.0
Maribyrnong,597.3616316423504
Wyndham,649.5362085942731
Darebin - South,686.4626762646682
Melton - Bacchus Marsh,637.9874708005946
