,Region,Census year,Mean rent per person,Cost of living proportion (Youth Allowance),Cost of living proportion (Newstart)
0,Abbotsford,2011,173.50720461095105,1.2107931010503994,1.0014383772905369
1,Abbotsford,2016,241.2870693959061,1.427286099125093,1.205908179531346
618,Abbotsford,2021,302.0550498277718,1.4910204984671795,1.2650735299586435
2,Airport West,2011,110.52021089630932,0.941790351895406,0.7789481133744589
3,Airport West,2016,127.2093352192362,0.9887532827925356,0.8353935990751119
619,Airport West,2021,159.2469177250327,1.0199941214935855,0.8654257705655273
4,Albert Park,2011,225.11304684475417,1.4311896085618372,1.1837267638458289
5,Albert Park,2016,248.6054875787912,1.455419253767433,1.2296777666659886
620,Albert Park,2021,311.2166065345871,1.5212382094582089,1.2907120951896318
6,Alphington - Fairfield,2011,161.2068328716528,1.158261084226576,0.9579895191510166
7,Alphington - Fairfield,2016,188.069823434992,1.2227106057815829,1.0330631830686026
621,Alphington - Fairfield,2021,235.4350775239703,1.2712867639361127,1.0786379098716061
8,Altona,2011,114.98476770754,0.9608574320202434,0.7947183599701165
9,Altona,2016,137.60014154281671,1.028697182396897,0.8691420362558598
622,Altona,2021,172.25464138663511,1.062897707296321,0.9018278125194429
10,Altona Meadows,2011,95.7754846779237,0.8788190675973679,0.7268650112254458
11,Altona Meadows,2016,104.99553820412716,0.9033599408158348,0.7632451141775543
623,Altona Meadows,2021,131.43859139796675,0.9282734680078724,0.7876043247875713
12,Altona North,2011,102.50040225261463,0.9075396209806303,0.7506195770138276
13,Altona North,2016,122.15560026827632,0.969325927953856,0.8189795065389468
624,Altona North,2021,152.92040314532338,0.9991272759052174,0.8477210548793803
14,Ardeer - Albion,2011,113.9242105263158,0.956328039830518,0.7909721318485191
15,Ardeer - Albion,2016,120.07841328413286,0.9613408933212866,0.8122329834815449
625,Ardeer - Albion,2021,150.32007806545943,0.9905505815441378,0.840444059679179
16,Armadale,2011,189.96612296110413,1.281085299855239,1.0595765558498909
17,Armadale,2016,211.4658952496955,1.312648798699504,1.1090515939124217
626,Armadale,2021,264.7234337357529,1.3678890239812422,1.1606012110085855
18,Ascot Vale,2011,117.23636363636362,0.9704734727156252,0.8026717189557174
19,Ascot Vale,2016,142.3951465201465,1.0471299383787132,0.884715796291359
627,Ascot Vale,2021,178.2572650289958,1.0826962581558974,0.9186261212279676
20,Ashburton (Vic.),2011,108.58588957055214,0.9335293169786552,0.7721154700478704
21,Ashburton (Vic.),2016,136.07142857142856,1.0228205684411116,0.8641769091929864
628,Ashburton (Vic.),2021,170.34092311776533,1.056585659309548,0.8964722826416818
22,Ashwood - Chadstone,2011,110.77045579352004,0.942859089444886,0.7798320586136349
23,Ashwood - Chadstone,2016,134.26344086021504,1.0158703783044,0.8583047220118063
629,Ashwood - Chadstone,2021,168.07759496028936,1.0491204873601576,0.890138371444973
24,Aspendale Gardens - Waterways,2011,113.66507177033492,0.9552213186860342,0.7900567706475977
25,Aspendale Gardens - Waterways,2016,125.7767441860465,0.9832461767391796,0.8307406677256375
630,Aspendale Gardens - Waterways,2021,157.45352963757193,1.014078960494655,0.8604069840277945
26,Bacchus Marsh,2011,77.66666666666666,0.8014805324222364,0.6628988578829623
27,Bacchus Marsh,2016,89.22529644268775,0.8427366422922242,0.7120247375448626
631,Bacchus Marsh,2021,111.69662522889851,0.8631582209835529,0.7323565428208781
28,Balwyn,2011,150.52789699570815,1.1126538415362297,0.920268092531643
29,Balwyn,2016,172.84952229299364,1.1642013658023471,0.983628965841676
632,Balwyn,2021,216.38155413645467,1.2084422188975532,1.0253167311806979
30,Balwyn North,2011,139.65963855421688,1.066238046355827,0.8818779178884383
31,Balwyn North,2016,158.77958446251128,1.110114303967214,0.9379310288171466
633,Balwyn North,2021,198.76811225952287,1.1503475180484617,0.9760256125471137
32,Bayswater,2011,100.91611687087654,0.9007735078833078,0.745023372910196
33,Bayswater,2016,117.58001502629602,0.95173665606818,0.8041184027616878
634,Bayswater,2021,147.19245994588968,0.9802347080030005,0.8316914378549253
